age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
2.481704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.349453101995514714e+00,9.999999999999996669e-01,1.936620963102221593e-01,0.000000000000000000e+00,1.008515855398762717e+01
2.501704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.340796824390132258e+00,9.999999999999996669e-01,1.936794135767513914e-01,0.000000000000000000e+00,1.005454977462682820e+01
2.521704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.331920768307321978e+00,9.999999999999996669e-01,1.936970314163400930e-01,0.000000000000000000e+00,1.002344578586151158e+01
2.541704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.322810210876802728e+00,9.999999999999996669e-01,1.937150143831116722e-01,0.000000000000000000e+00,9.991711522344784768e+00
2.561704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.313474008471311905e+00,9.999999999999996669e-01,1.937336866067180807e-01,0.000000000000000000e+00,9.958808534734648887e+00
2.581704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.303891549072457856e+00,9.999999999999996669e-01,1.937527771863462034e-01,0.000000000000000000e+00,9.925150580987111226e+00
2.601704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.294045165235903738e+00,9.999999999999996669e-01,1.937723325556637288e-01,0.000000000000000000e+00,9.890938979365328620e+00
2.621704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.283973408231216418e+00,9.999999999999996669e-01,1.937923923531676418e-01,0.000000000000000000e+00,9.855994337357582680e+00
2.646704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.273594350947925058e+00,9.999999999999996669e-01,1.938129894221839178e-01,0.000000000000000000e+00,9.819794899091711216e+00
2.666704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.262914697954652610e+00,9.999999999999996669e-01,1.938344739405195583e-01,0.000000000000000000e+00,9.782929488776639815e+00
2.686704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.251944324899771033e+00,9.999999999999996669e-01,1.938563346848172775e-01,0.000000000000000000e+00,9.745158440734783767e+00
2.706704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.240690729121834757e+00,9.999999999999996669e-01,1.938789082425422527e-01,0.000000000000000000e+00,9.706118598382749596e+00
2.726704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.229105982015446408e+00,9.999999999999996669e-01,1.939022002763369223e-01,0.000000000000000000e+00,9.666309927744679342e+00
2.746704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.217204602595753471e+00,9.999999999999996669e-01,1.939259432829735230e-01,0.000000000000000000e+00,9.625235679177327697e+00
2.766704845300000161e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.204939908038686447e+00,9.999999999999996669e-01,1.939505089583002384e-01,0.000000000000000000e+00,9.583108971890640149e+00
